# یال‌های شبکه‌ی متروی قم
# فرمت هر خط: مبدا|مقصد|فاصله(km)|زمان(دقیقه)

ایستگاه ترمینال مسافربری قم|ایستگاه قلعه کامکار|1.2|3
ایستگاه قلعه کامکار|ایستگاه میدان کشاورز|2.5|5
ایستگاه میدان کشاورز|ایستگاه میدان مطهری|6|10
ایستگاه میدان مطهری|ایستگاه بیمارستان نکویی|3|5
ایستگاه بیمارستان نکویی|ایستگاه میدان بقیه الله|2|4
ایستگاه میدان بقیه الله|ایستگاه مسجد مقدس جمکران|6|3.8
ایستگاه میدان مطهری|ایستگاه حرم مطهر حضرت معصومه (س)|4|1.5
ایستگاه حرم مطهر حضرت معصومه (س)|ایستگاه ارگ سالاریه|1|3
ایستگاه حرم مطهر حضرت معصومه (س)|ایستگاه دروازه ری|1.8|4
ایستگاه دروازه ری|ایستگاه باجک|1.3|3
ایستگاه میدان مطهری|ایستگاه نیروگاه|2.8|5
ایستگاه نیروگاه|ایستگاه صادقیه|1.5|3
ایستگاه صادقیه|ایستگاه چهل درخت|1.7|3
ایستگاه چهل درخت|ایستگاه امین آباد|1.4|3
ایستگاه نیروگاه|ایستگاه امین آباد|2|4
ایستگاه میدان بقیه الله|ایستگاه پردیسان|5|8
ایستگاه پردیسان|ایستگاه دانشگاه قم|2.2|4
ایستگاه پردیسان|ایستگاه بوستان جنگلی غدیر|6|3.5
ایستگاه حرم مطهر حضرت معصومه (س)|ایستگاه بوستان فدک|2.4|4
ایستگاه قلعه کامکار|ایستگاه راه آهن قم|3|5
ایستگاه دانشگاه قم|ایستگاه مسجد مقدس جمکران|7|4.5
